"conNum","best jaccard","k","selection","k","con-selection","k","outliers","FCI time","consensus time"
"79",1.565e-06,0.671401024632259,5,0.522900356542404,31,0.6699398307921,5,130,60.5377,584.7989
"80",1.585e-06,0.671401024632259,5,0.522900356542404,31,0.6699398307921,5,130,60.5377,578.083
"81",1.605e-06,0.671336561171157,6,0.522900356542404,31,0.668910315134077,5,217,60.5377,583.0686
"82",1.625e-06,0.671336561171157,6,0.522900356542404,31,0.668910315134077,5,217,60.5377,578.7695
"83",1.645e-06,0.671336561171157,6,0.522900356542404,31,0.668910315134077,5,217,60.5377,571.9033
"84",1.665e-06,0.671386688642289,6,0.522900356542404,31,0.668982387778199,5,182,60.5377,591.4634
"85",1.685e-06,0.67024516101302,7,0.522900356542404,31,0.669452471414533,6,219,60.5377,586.0905
"86",1.705e-06,0.670704367464589,7,0.523651598736431,30,0.669891803628302,6,250,60.5377,528.3188
"87",1.725e-06,0.670704367464589,7,0.523651598736431,30,0.669891803628302,6,250,60.5377,536.7925
"88",1.745e-06,0.670704367464589,7,0.523651598736431,30,0.669891803628302,6,250,60.5377,531.2648
"89",1.765e-06,0.670704367464589,7,0.523651598736431,30,0.669891803628302,6,250,60.5377,527.519
"90",1.785e-06,0.670704367464589,7,0.523651598736431,30,0.669891803628302,6,250,60.5377,536.9601
"91",1.805e-06,0.670704367464589,7,0.523651598736431,30,0.669891803628302,6,250,60.5377,528.5049
"92",1.825e-06,0.670704367464589,7,0.523651598736431,30,0.669891803628302,6,250,60.5377,527.6424
"93",1.845e-06,0.670704367464589,7,0.523651598736431,30,0.669891803628302,6,250,60.5377,537.6854
"94",1.865e-06,0.670704367464589,7,0.523651598736431,30,0.669891803628302,6,250,60.5377,529.5293
"95",1.885e-06,0.671854745163704,6,0.523651598736431,30,0.670156032054929,6,235,60.5377,528.8998
"96",1.905e-06,0.671854745163704,6,0.523651598736431,30,0.670156032054929,6,235,60.5377,538.9846
"97",1.925e-06,0.671854745163704,6,0.523651598736431,30,0.670156032054929,6,235,60.5377,531.1301
"98",1.945e-06,0.671854745163704,6,0.523651598736431,30,0.670156032054929,6,235,60.5377,529.7788
"99",1.965e-06,0.671854745163704,6,0.523651598736431,30,0.670156032054929,6,235,60.5377,539.6874
"100",1.985e-06,0.671854745163704,6,0.523651598736431,30,0.670156032054929,6,235,60.5377,531.0782
