"conNum","best jaccard","k","selection","k","con-selection","k","outliers","FCI time","consensus time"
"24",4.65e-07,0.678473705062141,5,0.571000567931176,31,0.678473705062141,5,262,64.9343,419.6858
"25",4.85e-07,0.678473705062141,5,0.571000567931176,31,0.678473705062141,5,262,64.9343,414.5739
"26",5.05e-07,0.678473705062141,5,0.571000567931176,31,0.678473705062141,5,262,64.9343,412.5869
"27",5.25e-07,0.678473705062141,5,0.571000567931176,31,0.678473705062141,5,262,64.9343,417.1716
"28",5.45e-07,0.678473705062141,5,0.571000567931176,31,0.678473705062141,5,262,64.9343,411.7418
"29",5.65e-07,0.678618163604925,5,0.571000567931176,31,0.678618163604925,5,257,64.9343,424.2517
"30",5.85e-07,0.678618163604925,5,0.571000567931176,31,0.678618163604925,5,257,64.9343,419.4806
"31",6.05e-07,0.678618163604925,5,0.571000567931176,31,0.678618163604925,5,257,64.9343,424.6969
"32",6.25e-07,0.6786945973382,5,0.571000567931176,31,0.678618163604925,5,260,64.9343,427.8537
"33",6.45e-07,0.6786945973382,5,0.571000567931176,31,0.678618163604925,5,260,64.9343,428.3693
"34",6.65e-07,0.6786945973382,5,0.571000567931176,31,0.678618163604925,5,260,64.9343,415.6462
"35",6.85e-07,0.6786945973382,5,0.571000567931176,31,0.678618163604925,5,181,64.9343,464.2112
"36",7.05e-07,0.6786945973382,5,0.571000567931176,31,0.678618163604925,5,181,64.9343,456.5998
"37",7.25e-07,0.6786945973382,5,0.571000567931176,31,0.678618163604925,5,181,64.9343,452.7993
"38",7.45e-07,0.6786945973382,5,0.571000567931176,31,0.678618163604925,5,181,64.9343,460.3109
"39",7.65e-07,0.6786945973382,5,0.571000567931176,31,0.678618163604925,5,181,64.9343,444.0633
"40",7.85e-07,0.6786945973382,5,0.571000567931176,31,0.678618163604925,5,181,64.9343,458.6169
"41",8.05e-07,0.6786945973382,5,0.571000567931176,31,0.678618163604925,5,181,64.9343,442.6395
"42",8.25e-07,0.678839244166038,5,0.571000567931176,31,0.678762819195852,5,176,64.9343,436.3605
"43",8.45e-07,0.678839244166038,5,0.571000567931176,31,0.678762819195852,5,176,64.9343,451.0679
"44",8.65e-07,0.678839244166038,5,0.571000567931176,31,0.678762819195852,5,176,64.9343,436.2806
"45",8.85e-07,0.678839244166038,5,0.571000567931176,31,0.678762819195852,5,176,64.9343,453.2084
"46",9.05e-07,0.678839244166038,5,0.571000567931176,31,0.678762819195852,5,176,64.9343,436.436
"47",9.25e-07,0.678839244166038,5,0.571000567931176,31,0.678762819195852,5,176,64.9343,454.901
"48",9.45e-07,0.678839244166038,5,0.571000567931176,31,0.678762231451586,5,176,64.9343,442.9302
"49",9.65e-07,0.678839244166038,5,0.571000567931176,31,0.678762231451586,5,176,64.9343,435.4751
"50",9.85e-07,0.678839244166038,5,0.571000567931176,31,0.678762231451586,5,176,64.9343,452.2006
"51",1.005e-06,0.678839244166038,5,0.571000567931176,31,0.678762231451586,5,176,64.9343,439.0225
"52",1.025e-06,0.680037677388116,5,0.571000567931176,31,0.679960614598059,5,192,64.9343,439.6076
"53",1.045e-06,0.680037677388116,5,0.571000567931176,31,0.679960614598059,5,192,64.9343,455.3903
"54",1.065e-06,0.680037020288118,5,0.571000567931176,31,0.679960614598059,5,191,64.9343,435.1905
"55",1.085e-06,0.680037020288118,5,0.571000567931176,31,0.679960614598059,5,191,64.9343,453.6502
"56",1.105e-06,0.680037020288118,5,0.571000567931176,31,0.679960614598059,5,191,64.9343,431.9739
"57",1.125e-06,0.680035035992809,5,0.571000567931176,31,0.679958616573291,5,185,64.9343,449.0756
"58",1.145e-06,0.679890472374452,5,0.571000567931176,31,0.679814044067133,5,190,64.9343,434.9307
"59",1.165e-06,0.679890472374452,5,0.571000567931176,31,0.679814044067133,5,190,64.9343,426.3696
"60",1.185e-06,0.679890472374452,5,0.571000567931176,31,0.679814044067133,5,190,64.9343,448.047
